log_id,label
1462,normal
1416,normal
1804,normal
1823,normal
2012,normal
1504,normal
1863,normal
2060,normal
1781,normal
1552,normal
1841,normal
2099,normal
1397,normal
1246,normal
1351,normal
1579,normal
1326,normal
1664,normal
1265,normal
1640,normal
2173,normal
2358,normal
1705,normal
2540,normal
2920,normal
2384,normal
2620,normal
1375,normal
2771,normal
2848,normal
2588,normal
1480,normal
3097,normal
2675,normal
2450,normal
2231,normal
2326,normal
3065,normal
2744,normal
2810,normal
2264,normal
2893,normal
1225,normal
2495,normal
2649,normal
3029,normal
2420,normal
1685,normal
2989,normal
2957,normal
2192,normal
2298,normal
3184,normal
3144,normal
1985,normal
1733,normal
3215,normal
2699,normal
1925,normal
1948,normal
2081,normal
1526,normal
1284,normal
2126,normal
1619,normal
2034,normal
1597,normal
1205,normal
2154,normal
1434,normal
1303,normal
1906,normal
1759,normal
1887,normal
1966,normal
2541,normal
3098,normal
2700,normal
2849,normal
2496,normal
2451,normal
3145,normal
2990,normal
2193,normal
2811,normal
2772,normal
3216,normal
2921,normal
3030,normal
2385,normal
2265,normal
2232,normal
2958,normal
2327,normal
2589,normal
3185,normal
3066,normal
2421,normal
1553,normal
1986,normal
2100,normal
2621,normal
2299,normal
2127,normal
2035,normal
1527,normal
2745,normal
1706,normal
2894,normal
1435,normal
2359,normal
1327,normal
2650,normal
1864,normal
1352,normal
1641,normal
1481,normal
1734,normal
1304,normal
2542,normal
2676,normal
3099,normal
1782,normal
1926,normal
2452,normal
2497,normal
2013,normal
2701,normal
2061,normal
2850,normal
1842,normal
1598,normal
1376,normal
1505,normal
1620,normal
1686,normal
1760,normal
2991,normal
1398,normal
1226,normal
3146,normal
1665,normal
2773,normal
2194,normal
1247,normal
1206,normal
1949,normal
2812,normal
1888,normal
1266,normal
1967,normal
2922,normal
3217,normal
1805,normal
2155,normal
2082,normal
1580,normal
1285,normal
3031,normal
2386,normal
1907,normal
2174,normal
1824,normal
1417,normal
1463,normal
2266,normal
2233,normal
2543,normal
3067,normal
2959,normal
2328,normal
2590,normal
3100,normal
3186,normal
2498,normal
2702,normal
2422,normal
2851,normal
2453,normal
2622,normal
1707,normal
2101,normal
2300,normal
1987,normal
1436,normal
2128,normal
2895,normal
3147,normal
2992,normal
2746,normal
1528,normal
1554,normal
2774,normal
2036,normal
1328,normal
2651,normal
2195,normal
2360,normal
2813,normal
1735,normal
2923,normal
3218,normal
1482,normal
2544,normal
3032,normal
2677,normal
2387,normal
1865,normal
1305,normal
1353,normal
1927,normal
1642,normal
3101,normal
1783,normal
2267,normal
1843,normal
2454,normal
2852,normal
1506,normal
2499,normal
2703,normal
1599,normal
2234,normal
1377,normal
1761,normal
3068,normal
2591,normal
2960,normal
2329,normal
2014,normal
1621,normal
2062,normal
3187,normal
1687,normal
1227,normal
1666,normal
2423,normal
2993,normal
3148,normal
1207,normal
1399,normal
2775,normal
1806,normal
2196,normal
1968,normal
2623,normal
2545,normal
1286,normal
2175,normal
2814,normal
1889,normal
1908,normal
1708,normal
3102,normal
1267,normal
2301,normal
2156,normal
3219,normal
2924,normal
1437,normal
2129,normal
1555,normal
1418,normal
1248,normal
1825,normal
1464,normal
1988,normal
1581,normal
2500,normal
2896,normal
1950,normal
2388,normal
2704,normal
2455,normal
3033,normal
2747,normal
2853,normal
1736,normal
2102,normal
2037,normal
2083,normal
2652,normal
2361,normal
2268,normal
1529,normal
2235,normal
1643,normal
1329,normal
2994,normal
